"content","cmp_code","eu_code"
"Die Mitte stärken. Deutschlandprogramm 2009 Programm der Freien Demokratischen Partei zur Bundestagswahl 2009 beschlossen auf dem Bundesparteitag vom 15.-17. Mai 2009 in Hannover.",NA,NA
"1. Präambel: Die Mitte stärken",NA,NA
"Der Mensch steht im Mittelpunkt liberaler Politik.",NA,NA
"Wir machen uns für die Freiheit des Einzelnenin Verantwortung für eine bessere Zukunft unseres Landes stark.","401",0
"Wir wollen die liberale Bürgergesellschaft, in der der Einzelne nicht losgelöst von seinen Mitbürgern lebt, sondern gemeinsam mit ihnen in einer Wertegemeinschaft.","606",0
"Sie ist geprägt von Weltoffenheit, Toleranz und Solidarität und ist der Menschenwürde verpflichtet.","606",0
"In der liberalen Bürgergesellschaft entscheiden die Bürgerinnen und Bürger über die ZukunftDeutschlands.","202",0
"Die liberale Bürgergesellschaft lebt vom Engagement und der politischen Teilhabe der Menschen.","606",0
"Denn durch sie wird Politik gestaltet.","202",0
"Sie schöpft ihre Kraft aus der Eigeninitiative und Kreativität ihrer Bürgerinnen und Bürger.","401",108
"Sie stellt sich den vielfältigen Herausforderungen des demographischen Wandels.","408",0
"Wir Liberale vertrauen auf die Leistungsbereitschaft der Menschen","401",0
"und auf einen Staat, der seine Stärke aus der Beschränkung auf seine hoheitlichen Aufgaben schöpft.","401",0
"Wir wenden uns an alle mündigen und verantwortungsbereiten Bürgerinnen und Bürger.","401",0
"Sie erkennen selbst, was getan werden muss und brauchen dafür keine bevormundende Staatsbürokratie.","401",0
"Die FDP ist die Partei für alle, die ihr Leben selbst gestalten und dabei nicht vom Staat bevormundet werden wollen.","401",0
"Wir wollen die Maßstäbe politischen Handelns neu definieren: Freiheit vor Gleichheit,","201",0
"Erwirtschaften vor Verteilen,","401",0
"Privat vor Staat,","401",0
"Eigenverantwortung statt Staatsgläubigkeit,","401",0
"Chancengleichheit statt Gleichmacherei.","503",0
"Wer mehr Freiheit und Chancengerechtigkeit in Deutschland will, braucht eine starke FDP.","201",0
"Wir setzen uns für mehr Freiheit und Verantwortung und weniger staatliche Bevormundung ein.","401",0
"Freiheit ist mehr als ein abstrakter Begriff.","201",0
"Sie ist die Grundlage für die freie Entwicklung und Entfaltung der Persönlichkeit.","201",0
"Maßstab aller Politik muss die Freiheit sein.","201",0
"Denn nur sie erweitert Handlungsspielräume.","201",0
"Unsere realistische Betrachtung der Gegenwart liefert Antworten und Lösungsvorschläge, die frei sind von ideologischer Verblendung.","305",0
"Wir wollen die Chancen der Zukunft nutzen, indem wir ihre Herausforderungen erfolgreich meistern.","305",0
