"content","cmp_code","eu_code"
"2013 WIR HABEN DIE KRAFT GEMEINSAM FÜR UNSER LAND Verabschiedet in einer gemeinsamen Sitzung des Bundesvorstands der CDU und des Parteivorstandes der CSU Berlin, 28. Juni 2009",NA,NA
"A. Zusammenhalt schafft Zukunft",NA,NA
"1. Unsere Erfolge in der Regierung",NA,NA
"Die von CDU und CSU geführte Bundesregierung hat unser Land seit 2005 zum Besseren verändert.","305",0
"Wir haben gezeigt, dass wir die Finanzen sanieren können.","414",0
"Erstmals seit langem haben wir 2007 einen ausgeglichenen Gesamthaushalt der öffentlichen Hände erreicht.","414",0
"Wir haben gezeigt, dass wir die Zahl der Arbeitslosen reduzieren können.","408",0
"Mit unserer Wachstumspolitik haben wir erreicht, dass die Zahl der Arbeitslosen im Herbst 2008 unter drei Millionen gesunken war und wir erstmals über 40 Millionen Erwerbstätige hatten.","410",0
"Wir haben gezeigt, dass wir Familien stärken können.","603",0
"Die Wahlfreiheit zwischen Familie und Beruf haben wir durch das Elterngeld, mehr Betreuungsplätze, verbesserte Absetzbarkeit von Kinderbetreuungskosten, die Erhöhung des Kindergeldes und des Kinderfreibetrages verbessert.","504",0
"Wir haben gezeigt, dass wir Bildung","506",0
"und Forschung voranbringen können.","411",0
"Der Hochschulpakt, die Exzellenzinitiative","506",0
"und der Pakt für Forschung und Innovation sollen bis 2019 fortgesetzt werden.","411",0
"Wir haben gezeigt, dass wir deutsche Interessen in Europa und der Welt durchsetzen können.","601",0
"Wir haben Vertrauen in der Welt zurückgewonnen","107",0
"und die Handlungsfähigkeit von Europäischer Union, NATO und Vereinten Nationen gestärkt.","107",0
"Alles in allem steht unser Land heute – 2009 – besser für die Zukunft gerüstet da als 2005.","305",0
"Darauf bauen wir auf.","305",0
"Die Zeiten fordern uns.","305",0
"Immer wenn unser Land vor wichtigen Weichenstellungen stand, konnten sich die Menschen sicher sein: Mit CDU und CSU ist das Land auf sicherem Kurs.","305",0
"Wir haben gegen große Widerstände die Soziale Marktwirtschaft in Deutschland verankert und damit Wohlstand und soziale Sicherheit ermöglicht.","403",0
"Wir haben gegen große Widerstände die Bundesrepublik Deutschland eng in den Kreis der freien Völker eingebunden","107",0
"und unserem Land mit NATO und Europäischer Union eine Sicherheit gegeben, wie wir sie nie zuvor in unserer Geschichte hatten.","107",0
"Wir haben gegen große Widerstände an der Deutschen Einheit festgehalten und – als sie möglich wurde – beherzt wahr gemacht, sodass heute alle Deutschen in Frieden und Freiheit leben können.","305",0
"60 Jahre Bundesrepublik Deutschland und 20 Jahre vereintes Deutschland zeigen, was unser Land kann.","601",0
"Sie zeigen auch: Wir haben schon ganz andere Herausforderungen bewältigt.","305",0
"Heute muss unser Land wie alle anderen Länder eine globale Finanzkrise bewältigen, wie wir sie seit Bestehen der Bundesrepublik Deutschland noch nicht erlebt haben.","408",0
"Die dafür notwendigen Weichenstellungen verlangen wieder nach einer politischen Kraft, die gestalten will und gestalten kann.","305",0
"Das ist die Union.","305",0
"Das Jahr 2009 darf nicht nur das Jahr einer außergewöhnlichen weltweiten Krise sein, sondern es muss auch das Jahr sein, in dem die Grundlage für einen neuen Aufschwung gelegt wird.","410",0
"Damit unser Land 2013 noch besser dasteht als 2009, nach innen wie nach außen, zum Wohle der Menschen.","408",0
"Um das zu erreichen, wollen wir, die Christlich Demokratische Union Deutschlands und die Christlich-Soziale Union, in der nächsten Legislaturperiode eine Regierung mit der Freien Demokratischen Partei bilden.","305",0
"So können wir die notwendigen Entscheidungen für die Zukunft unseres Landes treffen.","305",0
"Für die Menschen. Für Soziale Marktwirtschaft. Für eine sichere Zukunft.",NA,NA
"Die weltweite Finanz- und Wirtschaftskrise hat eine Fülle von Ursachen.","403",0
"Trotz ihrer ganzen Komplexität lassen sie sich auf einen zentralen Kern zurückführen: auf das Fehlen eines soliden Ordnungsrahmens und auf individuelle Verantwortungslosigkeit.","403",0
"Kreditvergabe, Geldpolitik, Risikovorsorge, Finanzprodukte – wenn all dies ohne den erforderlichen Ordnungsrahmen und das notwendige Verantwortungsbewusstsein stattfindet, wenn Verantwortungslosigkeit infolgedessen sogar noch mit schwindelerregenden Summen belohnt wird, dann wird ein Kartenhaus errichtet, das irgendwann einstürzen muss.","403",0
"Inzwischen versteht jeder: Wir brauchen international eine Wirtschaftsordnung, die von Verantwortungsbewusstsein getragen wird und sich an den Prinzipien des „ehrbaren Kaufmanns“ orientiert.","403",0
"Diese verantwortungsbewusste Wirtschaftsordnung ist die Soziale Marktwirtschaft.","403",0
"Die Soziale Marktwirtschaft ist die Ordnung, die CDU und CSU in Deutschland durchgesetzt haben.","403",0
"Sie ist die Ordnung, die unser Land stark gemacht hat.","403",0
"In der Sozialen Marktwirtschaft sichert der Staat den Rahmen, in dem die Menschen frei handeln.","403",0
"Er stellt sicher, dass fairer Wettbewerb Arbeitsplätze schafft, Leistung belohnt und Schwache schützt.","403",0
"Materieller Wohlstand allein ist nie genug – Erfüllung und Zufriedenheit bemessen sich auch danach, wie viel Mitmenschlichkeit, wie viel Zuwendung, wie viel Zusammenhalt es in unserer Gesellschaft gibt.","606",0
"Der Krise und ihren Ursachen setzen CDU und CSU die Wertvorstellungen entgegen, für die wir immer eingetreten sind und eintreten werden:","305",0
"Wir handeln verantwortlich auch über den Tag hinaus und denken an unsere Nachkommen.","403",0
"Wertschöpfung und Wertschätzung gehören zusammen.","403",0
"Diese Prinzipien wollen wir jetzt international verankern, damit wir verhindern, dass uns Verantwortungslosigkeit noch einmal in eine so schwierige wirtschaftliche Lage bringt.","403",0
"Dabei lassen wir auch in der Krise unsere Ziele nicht gegeneinander ausspielen.","305",0
"Denn auch jetzt müssen Wirtschaft und Umwelt zusammen gedacht werden.","416",0
"Es geht immer um die Menschen.","403",0
"Wohlstand in einer zerstörten Umwelt ist kein Wohlstand.","501",0
"Wir verbinden die wichtigen Ziele und richten unsere Politik daran aus.","305",0
"Wohlstand und Klimaschutz,","408",0
"wie auch Frieden in Freiheit, sind immer die beiden Seiten einer Medaille.","201",0
"Die Aufgabe unserer Zeit ist nicht einfach.","305",0
"Sie verlangt eine vertrauensvolle, beständige und verlässliche Zusammenarbeit mit allen wichtigen Partnern auf der Welt.","107",0
"Sie verlangt das Vertrauen, das Bundeskanzlerin Angela Merkel heute in Europa und der Welt genießt.","305",0
"Nur das entschlossene Handeln der von ihr geführten Bundesregierung hat im Herbst 2008 das Schlimmste verhindert.","305",0
"Innerhalb von Tagen haben Bund und Länder angesichts der akuten internationalen Finanzmarktkrise Entscheidungen getroffen, von denen wir heute sagen können: Sie haben Deutschland vor großem Schaden bewahrt.","305",0
"Für CDU und CSU ist klar: Im Augenblick der Not muss der Staat einspringen – aber nur dann.","412",0
"Denn es wäre ein großer Fehler, wenn wir die Rolle des Staates falsch verstünden und ihm nun auf Dauer immer neue Aufgaben übertragen wollten.","401",0
"Genau das wollen CDU und CSU nicht.","401",0
"Wir haben hohe Achtung vor der unternehmerischen Verantwortungsbereitschaft, ohne die Arbeitsplätze nicht geschaffen werden können.","401",0
