"content","cmp_code","eu_code"
"am 22. September wählen Sie einen neuen Bundestag.",NA,NA
"Das ist eine Richtungsentscheidung für unser Land und für jeden Einzelnen.",NA,NA
"Es geht darum, ob Deutschland ein starkes und erfolgreiches Land bleibt.",NA,NA
"Ein Land mit einem stabilen Euro,",NA,NA
"in dem die Menschen sichere Arbeitsplätze haben",NA,NA
"und für sich und ihre Familien sorgen können.",NA,NA
"Ein Land, in dem jeder Mensch die Chance hat, aus seinem Leben etwas zu machen",NA,NA
"und zugleich bei Arbeitslosigkeit, Krankheit, Pflege oder im Alter gut abgesichert ist.",NA,NA
"Ein Land des Zusammenhalts,",NA,NA
"in dem die Menschen gern und sicher leben.",NA,NA
"All das kann nur gelingen, wenn Deutschland auch in Zukunft gut regiert wird.",NA,NA
"Es geht damit am 22. September auch um Ihre persönliche Zukunft!",NA,NA
"Vor der letzten Bundestagswahl 2009 waren die Sorgen um die Zukunft groß.",NA,NA
"Deutschland und Europa erlebten die schwerste Wirtschaftskrise seit dem Zweiten Weltkrieg.",NA,NA
"Heute ist Deutschland wieder ein erfolgreiches und starkes Land, eines der stärksten weltweit.",NA,NA
"Das zeigt: Unsere gemeinsamen Anstrengungen haben vieles zum Guten entwickelt.",NA,NA
"Europa und der Euro kommen voran.",NA,NA
"Das macht auch unser Land stärker.",NA,NA
"Noch nie hatten so viele Menschen bei uns einen Arbeitsplatz wie heute.",NA,NA
"Das bedeutet Sicherheit für die Menschen und die Chance, aus eigener Kraft am gesellschaftlichen Leben teilzuhaben.",NA,NA
"Die Einkommen und die Renten steigen, die Preise sind stabil.",NA,NA
"Das zeigt, von der richtigen Politik von CDU und CSU haben alle Menschen etwas.",NA,NA
"Wer sich in den Staaten Europas umschaut, weiß, diese gute Entwicklung unseres Landes ist keine Selbstverständlichkeit.",NA,NA
"Und die Gefahr ist groß, durch falsche Entscheidungen die Stabilität unserer Währung, Deutschlands wirtschaftliche Stärke und damit Arbeitsplätze aufs Spiel zu setzen.",NA,NA
"Die Union ist der Garant für eine kluge Politik,",NA,NA
"für eine solide Währung,",NA,NA
"stabile Finanzen,",NA,NA
"wirtschaftliche Stärke",NA,NA
"und sichere Arbeitsplätze.",NA,NA
"Die europäische Schuldenkrise ist noch nicht vorbei.",NA,NA
"Ihre Bewältigung ist eine Herausforderung von historischem Ausmaß.",NA,NA
"Als größter Volkswirtschaft und Wachstumsmotor in Europa kommt unserem Land in dieser Situation eine besondere Verantwortung zu.",NA,NA
"Wir stehen zu dieser Verantwortung, weil wir wissen, dass Deutschland auf Dauer nur stark und erfolgreich sein kann, wenn es auch Europa gut geht.",NA,NA
"Deutschland und Europa erleben einen Bevölkerungswandel von bislang noch nicht gekanntem Ausmaß.",NA,NA
"Unsere Bevölkerung ist die älteste in Europa, wir werden weniger und die Gesellschaft wird vielfältiger, weil der Anteil der Menschen mit Zuwanderungsgeschichte größer wird.",NA,NA
"Gleichzeitig wächst die Bevölkerung in anderen Regionen der Welt rasant.",NA,NA
"Mittlerweile leben über sieben Milliarden Menschen auf der Welt.",NA,NA
"Die allermeisten außerhalb Europas.",NA,NA
"Das bleibt nicht ohne Folgen für unsere Wirtschaft.",NA,NA
"Die großen Absatzmärkte der Zukunft liegen nicht länger nur vor unserer Haustür, sondern in den aufstrebenden Ländern Asiens und Lateinamerikas, in Afrika und der arabischen Welt.",NA,NA
"Damit eröffnen sich neue Märkte und Chancen, gleichzeitig sind diese Länder aber auch Mitbewerber im weltweiten Wettbewerb.",NA,NA
"Der technische Fortschritt, insbesondere die Digitalisierung, verändert mit großer Geschwindigkeit unsere Art zu leben, zu arbeiten und uns miteinander auszutauschen.",NA,NA
"Das eröffnet viele neue Chancen auf zukunftsfähige Arbeitsplätze und zukünftigen Wohlstand, aber Branchen und Betriebe verlieren auch den Anschluss, wenn sie nicht rechtzeitig auf die Veränderungen reagieren.",NA,NA
"Viel zu lange haben wir in Deutschland, Europa und darüber hinaus auf Kosten kommender Generationen gelebt – das gilt sowohl mit Blick auf die Finanzen als auch auf die Umwelt.",NA,NA
"Die Grenzen dieses Handelns werden immer stärker sichtbar.",NA,NA
"Deshalb brauchen wir eine nachhaltige Wirtschaftsweise, die Lebensgrundlagen und Lebenschancen für kommende Generationen sichert.",NA,NA
"Wir wollen auch in den kommenden vier Jahren in dieser sich wandelnden Welt die Weichen für die Zukunft richtig stellen.",NA,NA
"Wir laden alle Menschen in unserem Land ein, diesen Weg mitzugehen, ihn mit ihren Ideen mitzugestalten und unser Land zusammen in eine gute Zukunft zu führen.",NA,NA
"Auf diesem Weg leiten CDU und CSU klare Vorstellungen und Prinzipien:",NA,NA
"Wir wollen, dass Europa gestärkt aus der Krise hervorgeht",NA,NA
"und der Euro eine starke und stabile Währung bleibt.",NA,NA
"Dafür brauchen wir weitere Anstrengungen und Reformen vor allem in den Staaten, die unsere Hilfe brauchen.",NA,NA
"Rot-Grün dagegen setzt auf eine Vergemeinschaftung der Schulden und Eurobonds.",NA,NA
"Dies wäre der Weg in eine europäische Schuldenunion, in der deutsche Steuerzahler nahezu unbegrenzt für die Schulden anderer Länder einstehen müssten.",NA,NA
"Das lehnen wir ab.",NA,NA
"Wir wollen die Soziale Marktwirtschaft stärken und ihre Prinzipien in Europa und darüber hinaus weiter verankern.",NA,NA
"Sie hat unserem Land in den vergangenen 60 Jahren Wohlstand und soziale Sicherheit gebracht.",NA,NA
"Sie stärkt den gesellschaftlichen Zusammenhalt",NA,NA
"und den sozialen Ausgleich in unserem Land.",NA,NA
"Sie ist damit eine Voraussetzung für eine starke Mitte in unserem Land.",NA,NA
"Unsere Ziele bleiben Arbeit für alle – sicher und gut bezahlt – und Sicherheit für die Menschen.",NA,NA
"Dazu setzen wir auf Tatkraft, Ideenreichtum und technischen Fortschritt– und nicht auf rot-grüne Umverteilungspolitik.",NA,NA
"Wir stehen dafür, dass Leistung sich lohnt.",NA,NA
"Deshalb entlasten wir die Menschen.",NA,NA
"SPD und Grüne dagegen wollen die Menschen belasten.",NA,NA
"Von ihren Steuererhöhungsplänen wäre ganz besonders unser starker Mittelstand mit seinen vielen Handwerkern und Familienunternehmern betroffen.",NA,NA
"Damit würden die gute wirtschaftliche Entwicklung unseres Landes aufs Spiel gesetzt und Arbeitsplätze vernichtet.",NA,NA
"Wir sehen Deutschlands Chancen in einer nachhaltigen und international wettbewerbsfähigen Wirtschaft, deren Kern auch weiterhin eine moderne, industrielle Produktion ist.",NA,NA
"Bildung und Forschung sind die Grundlagen für gesellschaftliche Teilhabe und wirtschaftlichen Erfolg.",NA,NA
"Wir wollen, dass die Ergebnisse unserer Forschungsanstrengungen auch in Deutschland und Europa produziert und damit Arbeitsplätze, Wohlstand und soziale Sicherheit bei uns geschaffen werden.",NA,NA
"Dafür wollen wir ein technikfreundliches Land bleiben, das Ja sagt zu neuen Technologien und verantwortlich mit Risiken umgeht.",NA,NA
"Wir gestalten Politik für diejenigen, die sich um ihre Kinder, Enkel und Familien kümmern und mit ihrem ehrenamtlichen Engagement zu einem guten Miteinander in unserem Land beitragen.",NA,NA
"Diese Männer und Frauen sind die Helden des Alltags, die unser Land stark machen.",NA,NA
"Sie brauchen einen verlässlichen Staat, der ihnen und ihren Familien Sicherheit und Stabilität gibt.",NA,NA
"Deshalb wollen wir alle Familien noch besser unterstützen, während Rot-Grün auch Familien belasten will.",NA,NA
"Für uns zählen die Entscheidungen der Familien, wie sie ihr Leben gestalten wollen.",NA,NA
"Denn als Parteien mit einem christlichen Menschenbild vertrauen wir den Menschen und ihren Entscheidungen.",NA,NA
"Rotgrüne Bevormundungspolitik lehnen wir ab.",NA,NA
"Wir treten für eine lebenswerte Heimat und gute Zukunftsperspektiven überall in Deutschland ein egal, ob in der Stadt oder auf dem Land.",NA,NA
"Wir wollen, dass alle Kinder eine Schule besuchen, in der sie das lernen, was wichtig für ihre Zukunft ist.",NA,NA
