"content","cmp_code","eu_code"
"Einleitung",NA,NA
"Die Bundestagswahl am 22. September 2013 steht vor der Tür und die Piratenpartei Deutschland will in den Bundestag einziehen.","0",NA
"Dort können wir die Inhalte, mit denen wir seit 2011 unter anderem in vier Landesparlamenten vertreten sind, weiter voranbringen.","305",NA
"Unser Wahlprogramm, das Sie nun in Händen halten, ist von unseren Mitgliedern verfasst, bei Parteitagen engagiert diskutiert und verabschiedet worden.","0",NA
"Hier sind natürlich unsere Kernthemen wie Urheberrecht, Datenschutz, Stärkung der Bürgerrechte, Transparenz des Staatswesens, Internet und Bildung vertreten.","0",NA
"Und Sie finden unsere Vorstellungen zu den Bereichen Soziales, Gesundheitspolitik, Asylpolitik, Umwelt und Europa.","0",NA
"Einige Positionen seien hier beispielgebend erwähnt:","0",NA
"Als einzige Partei verlangen wir die gesetzliche Festschreibung der Netzneutralität – Datendurchleitung im Internet muss neutral bleiben.","503",NA
"Wir geben eine konkrete Grundlage zur Berechnung eines gesetzlichen Mindestlohns,","412",NA
"den wir allerdings nur als Brückentechnologie bis zur Einführung des ebenso geforderten Bedingungslosen Grundeinkommens sehen.","503",NA
"Wir setzen uns für den Einsatz von frei zugänglichen und frei nutzbaren Bildungsressourcen (OER = Open Educational Resources) ein.","506",NA
"Gerade aufgrund unseres Bekenntnisses zu Europa wollen wir eine transparente Ausgestaltung sowie die demokratische Kontrolle des ESM.","202",NA
"Wir fordern die Einführung bundesweiter Volksentscheide.","202",NA
"Wir wollen unseren politischen Willen nicht nur bei Wahlen sondern auch bei Abstimmungen ausdrücken.","202",NA
"Wir Piraten wollen ändern, wie Politik gemacht wird und so auch die Politik selbst.","305",NA
"Wir stehen für eine solidarische, lebenswerte Gesellschaft – und betreiben einen kraftvollen Wahlkampf, um diese Ziele dann auch in der Bundespolitik umsetzen zu können.","305",NA
"Wählen Sie am 22. September 2013 die Piratenpartei – wir sorgen dafür, dass Ihre Stimme zählt!","305",NA
"Freiheit und Grundrechte",NA,NA
"Privatsphäre wahren,  Datenschutz und informationelle Selbstbestimmung stärken",NA,NA
"Die Piratenpartei Deutschland setzt sich für einen starken Datenschutz und das Prinzip der informationellen Selbstbestimmung ein.","201",NA
"Dies umfasst nicht nur die sparsame Erhebung, zweckgebundene Verarbeitung und Nutzung sowie die eingeschränkte Weitergabe von personenbezogenen Daten,","201",NA
"sondern ebenso die Stärkung der Rechte des Einzelnen, grundsätzlich selbst über die Preisgabe und Verwendung personenbezogener Daten zu bestimmen.","201",NA
"Im Sinne des Prinzips der Informationssicherheit muss die Vertraulichkeit bei Übertragung und Zugriff sowie die Integrität der gespeicherten Daten gewährleistet sein.","201",NA
"Die Piratenpartei Deutschland lehnt die verdachtsunabhängige Durchleuchtung der Bürger","201",NA
"und den gläsernen Kunden ab.","403",NA
"Im digitalen Zeitalter liegen immer mehr personenbezogene Informationen in elektronischer Form vor, werden automatisiert verarbeitet und verknüpft oder weitergegeben – auch über Ländergrenzen hinweg und zwischen den öffentlichen und nicht-öffentlichen Bereichen.","201",NA
"Ohne Wissen der Betroffenen kann die wachsende Datenflut automatisiert zu Persönlichkeitsprofilen zusammengefügt und im schlimmsten Fall gegen sie verwendet werden – z. B. durch das so genannte Kreditscoring oder die Erstellung von Surf- und Bewegungsprofilen.","201",NA
"Damit auch in der Informationsgesellschaft die Privatsphäre gewahrt bleibt, strebt die Piratenpartei Deutschland die Umsetzung der folgenden Maßnahmen an:","201",NA
"Informationelle Selbstbestimmung stärken, Medienkompetenz fördern",NA,NA
"Damit die effektive Anwendbarkeit des Grundrechtes auf informationelle Selbstbestimmung nach Art. 2 Abs. 1, Art. 1 Abs. 1 GG auch in Zukunft sichergestellt ist, fordert die Piratenpartei ein Datenschutzrecht, welches das im internationalen Vergleich hohe deutsche Schutzniveau nicht nur erhält, sondern ausbaut – auch nach der Überarbeitung des EU-Datenschutzrechtes.","203",NA
"Der Gesetzgeber muss den Einzelnen in die Lage versetzen, sich den Möglichkeiten, Chancen und Risiken der Informationsverknüpfungen im Internet bewusst zu werden und selbstbestimmt zu entscheiden, welche Daten er frei gibt – z.B. in sozialen Netzwerkdiensten oder über Treue- bzw. Bonusprogramme.","201",NA
"Der Bürger muss sich darauf verlassen können, dass Behörden und Unternehmen in der dem Grundrecht gebührenden Art und Weise, transparent und nachvollziehbar mit den personenbezogenen Daten umgehen und dass Verstöße und mangelnde Sorgfalt entsprechend sanktioniert werden.","201",NA
"Der Einzelne muss einen durchsetzbaren und unentgeltlichen Anspruch auf Selbstauskunft, Korrektur, Sperrung oder Löschung der eigenen personenbezogenen Daten haben und über ungewollte Datenabflüsse aus Unternehmen und Behörden unverzüglich und lückenlos informiert werden.","201",NA
"Um das bestehende Auskunftsrecht zu einer Mitteilungspflicht weiterzuentwickeln, fordert die Piratenpartei die Einführung des Datenbriefes und die Verankerung desselben in den Datenschutzgesetzen des Bundes und der Länder.","201",NA
"Firmen, Behörden und Institutionen, die personenbezogene Daten verarbeiten, übermitteln oder speichern, sollen dazu verpflichtet werden, die betroffenen Personen jährlich mit einem Datenbrief über die Art, den Zweck und – im Fall von Behörden und mit staatlichen Aufgaben beliehenen Institutionen – die rechtliche Grundlage der Speicherung zu informieren.","201",NA
"Die Weitergabe von Daten an Dritte soll kommuniziert und begründet werden.","201",NA
"Um im Sinne der informationellen Selbstbestimmung eine echte Wahlfreiheit bei der Nutzung des Internets zu garantieren, müssen alle Produkte und Dienstleistungen, die für die Verarbeitung personenbezogener Daten vorgesehen oder geeignet sind, datenschutzfreundlich voreingestellt sein (Privacy-by-Default).","201",NA
"Datenschutz soll darüber hinaus von Anfang an in die Entwicklung neuer Kommunikations- und Informationstechniken eingebaut werden (Privacy-by-Design).","201",NA
"Datenschutzbehörden stärken",NA,NA
"Die Piratenpartei Deutschland setzt sich für eine Stärkung der Selbstständigkeit und der Kontroll- bzw. Sanktionsbefugnisse der Bundes- und Landesbeauftragten für Datenschutz sowie des Bundesamtes für Informationssicherheit ein, um gegenüber staatlichen und nicht-öffentlichen Stellen die Durchsetzbarkeit der Individuellen Datenschutzrechte zu verbessern, Missbrauch von personenbezogenen Daten zu verhindern und Schutzmaßnahmen vor Verlust oder Manipulationen sicherzustellen.","201",NA
"Zu diesem Ziel soll die völlige Unabhängigkeit der Kontrollstellen entsprechend der EU-Datenschutzrichtlinie und der Rechtsprechung des Europäischen Gerichtshofes (EuGH) sichergestellt werden.","201",NA
"Die Kontrollbehörden müssen entsprechend ihren Aufgaben ausgestattet werden, damit sie ihre Aufsichts- und Kontrollfunktion auch ausüben können.","303",NA
"Für Unternehmen sowie öffentliche Stellen fordert die Piratenpartei darüber hinaus rechtlich anerkannte freiwillige Datenschutz- und Datensicherheitsprüfungen (Audits) sowie Zertifizierungen durch die unabhängigen Behörden.","201",NA
"Verantwortungsvollen Umgang mit Meldedaten sicherstellen, Datenhandel eindämmen",NA,NA
"Die Piratenpartei fordert ein Melderecht, das der besonderen Sorgfaltspflicht des Staates gegenüber den zwangsweise erhobenen Daten gerecht wird.","201",NA
"Persönlichkeitsrechte müssen über den privatwirtschaftlichen Interessen von Unternehmen stehen.","201",NA
"Die Meldegesetze sollen daher konsequent dahingehend überarbeitet werden, dass Meldedaten nicht ohne aktive Einwilligung der Bürger an der Erhebungsquelle (Optin) an Dritte weitergegeben werden – dazu gehören z. B. Unternehmen, Adresshändler, Verbände oder Parteien.","201",NA
"Eine automatisierte Abfrage lehnen wir ab.","201",NA
"Dies gilt neben Melderegisterauskünften auch für die Korrektur von Bestandsdaten.","201",NA
"Die Verwendung personenbezogener Daten für Adresshandel, Werbezwecke oder Markt- bzw. Meinungsforschung darf nur mit Einwilligung der Betroffenen möglich sein.","403",NA
"Daher fordert die Piratenpartei die ersatzlose Abschaffung des sogenannten Listenprivilegs, der zentralen Ausnahmeregelung im deutschen Datenschutzrecht für den Adresshandel.","403",NA
"Das Bundesdatenschutzgesetz (BDSG) muss entsprechend angepasst und um einem zwingenden Einwilligungsvorbehalt ergänzt werden.","201",NA
"Die Weitergabe von Meldedaten an den Beitragsservice der öffentlich-rechtlichen Rundfunkanstalten muss beendet und die im 15. Rundfunkänderungsstaatsvertrag (RÄStV) enthaltene Klausel zur Durchleuchtung der „individuellen Lebenssachverhalte“ der Bürger ersatzlos gestrichen werden.","201",NA
"Verdachtsunabhängige Datenspeicherung verhindern",NA,NA
"Die Piratenpartei Deutschland lehnt die Vorratsdatenspeicherung (VDS) von Telekommunikations-Verbindungsdaten grundsätzlich ab.","201",NA
"Zweck und Mittel dieser Überwachungsmaßnahme stehen aus Sicht der Piraten nicht in einem ausgewogenen Verhältnis.","201",NA
"Die anlasslose Speicherung ist ein weiterer Schritt in Richtung schrankenloser Telekommunikationsüberwachung und stellt die Bevölkerung unter Generalverdacht.","201",NA
"Das Bundesverfassungsgericht hat die deutschen Vorschriften zur Vorratsdatenspeicherung bereits im März 2010 für verfassungswidrig und nichtig erklärt.","201",NA
"Auch wenn das Urteil einer möglichen Neuregelung enge Grenzen setzt, lässt sich aus Sicht der Piratenpartei keine Ausgestaltung der zu Grunde liegenden EU-Vorratsdatenspeicherungsrichtlinie umschreiben, die eine Vereinbarkeit mit dem Grundgesetz und der Europäischen Grundrechtecharta sicherstellen würde.","201",NA
"Auch eine Einführung durch die Hintertür lehnen wir ab.","201",NA
"Die Piratenpartei tritt daher dafür ein, die Pläne zur Vorratsdatenspeicherung abschließend aufzugeben, die EU VDS-Richtlinie ersatzlos abzuschaffen und, im Sinne des Schutzes der Privatsphäre der Bürger, bis dahin möglicherweise anfallende Strafzahlungen seitens der EU-Kommission in Kauf zu nehmen.","201",NA
"Das vor der Einführung der Vorratsdatenspeicherung bestehende Recht, die unverzügliche Löschung von Abrechnungsdaten zu verlangen, muss wieder eingeführt werden.","201",NA
"Das Briefgeheimnis muss zum Schutz elektronischer Kommunikation zu einem allgemeinen Kommunikationsgeheimnis erweitert werden.","201",NA
"Das Recht auf anonyme Bezahlung im Internet und auf anonyme Kommunikation muss verteidigt werden.","201",NA
"Die Piratenpartei lehnt die Bestrebungen der EU zum Aufbau und Unterhaltung einer Fernverkehrsdatenspeicherung ab.","110",NA
"Die verdachtsunabhängige Sammlung und Speicherung von Reisedaten, sowie die Umkehr der Unschuldsvermutung, sind nicht vereinbar mit unserer Vorstellung eines freiheitlich demokratischen Staatswesens.","201",NA
"Auch andere Formen der verdachtsunabhängigen Datenerfassung, wie z. B. die Hotelmeldepflicht oder das Nachfolgeprojekt des elektronischen Entgeltnachweis-Verfahrens ELENA, OMS (Optimiertes Meldeverfahren in der sozialen Sicherung), beurteilt die Piratenpartei kritisch.","201",NA
"Die Piratenpartei lehnt die anlasslose Erfassung, Speicherung und den Abgleich biometrischer Daten aufgrund des hohen Missbrauchspotenzials ab.","201",NA
"Grundsätzlich soll die Erhebung biometrischer Merkmale freiwillig erfolgen und durch unabhängige Stellen kontrolliert und bewertet werden.","201",NA
"Der Aufbau zentraler Biometriedatenbanken für polizeiliche Zwecke oder die Versicherungswirtschaft muss unterbleiben.","201",NA
"Ausweis- und Passdokumente müssen auch ohne biometrische Merkmale gültig sein – auch im Ausland.","201",NA
"Gegen Überwachungssoftware: Transparenz und Quellcode-Offenlegung",NA,NA
"Die Piratenpartei Deutschland spricht sich deutlich gegen die Herstellung, Wartung, Betreuung und Erhaltung von Überwachungssoftware aus.","201",NA
"Sie verurteilt den kommerziellen Handel mit Überwachungssoftware, einschließlich Dienstleistungen für Überwachungssoftware.","201",NA
"Überwachungssoftware ist jede Software, die Dritten Zugang zu nicht-öffentlichen Daten, Kommunikationen und Aktivitäten eines Rechensystems verschaffen kann, ohne dass die eigentlichen Nutzer des Rechensystems darüber Kenntnis haben.","201",NA
"Der Grund für diese Position ist, dass Überwachungssoftware sowohl im Inland wie weltweit eingesetzt wird, um Menschenrechte wie das Recht auf Privatsphäre auszuhebeln.","201",NA
"Häufig werden die so erhaltenen privaten Daten genutzt, um Regimegegner zu verfolgen und sogar zu foltern, und um Bewegungen für mehr Demokratie zu bekämpfen.","202",NA
"Um aktiv gegen Überwachungssoftware vorzugehen, fordert die Piratenpartei eine gesetzliche Pflicht bei Herstellern und Dienstleistern von Überwachungssoftware, volle Transparenz über alle Produkte, und über alle Vertragspartner und Kunden, die Überwachungssoftware und Dienstleistungen nutzen, herzustellen.","201",NA
"Desweiteren fordert die Piratenpartei die gesetzliche Pflicht zur Offenlegung des vollständigen Quellcodes von Überwachungssoftware.","201",NA
"Die Offenlegung all dieser Informationen hat an die Öffentlichkeit zu geschehen, das bedeutet: nicht nur an ein parlamentarisches Kontrollgremium.","202",NA
"Überwachung",NA,NA
"„Digitale Netzwerke“ ins Grundgesetz",NA,NA
"Die Piratenpartei setzt sich für die Erweiterung des Artikels 5 Abs. 1 GG um die zwei Worte „digitale Netzwerke“ ein.","204",NA
"Neu: Artikel 5 (1) „Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk, Film und digitale Netzwerke werden gewährleistet. Eine Zensur findet nicht statt.“","204",NA
"Betroffene von Überwachungsmaßnahmen müssen informiert werden",NA,NA
"Verdeckte Überwachungsmaßnahmen laden zum Missbrauch ein.","201",NA
"Deswegen müssen Betroffene von staatlichen Abhör- und Überwachungsmaßnahmen grundsätzlich benachrichtigt werden.","201",NA
"Die derzeitigen Regelungen zur Benachrichtigungspflicht sind aufgrund der zahlreichen Ausnahmen wirkungslos.","201",NA
"Die Piratenpartei setzt sich daher dafür ein, dass die überwachende Behörde ohne Ausnahme alle ihr bekannten Betroffenen einer Überwachungsmaßnahme innerhalb einer festen, nicht verlängerbaren Frist benachrichtigen und über die erfassten Daten informieren muss.","201",NA
"Keine Bundes- oder Staatstrojaner",NA,NA
"Verdeckte Eingriffe in informationstechnische Systeme  (z. B. Bundes- oder Staatstrojaner)",NA,NA
"Für die Piratenpartei sind verdeckte Eingriffe in informationstechnische Systeme durch den Staat nicht mit Grundrechten und Rechtsstaat vereinbar.","201",NA
"Wir setzen uns daher für die Abschaffung der Befugnisse für staatliche Behörden zum Verwanzen solcher Systeme ein.","201",NA
"Wenn wir für die Abschaffung und Verhinderung solcher Eingriffe keine ausreichende parlamentarische Mehrheit finden, werden wir uns bei der gesetzlichen Umsetzung eines solchen Grundrechteeingriffs zusätzlich zu den Vorgaben des Bundesverfassungsgericht dafür einsetzen, diesen erheblichen Eingriff in bürgerliche Grundrechte durch folgende Maßnahmen streng zu reglementieren und zu kontrollieren:","201",NA
"Durch die Installation einer komplexen Software zur Durchführung des verdeckten Zugriffs werden informationstechnische Systeme prinzipbedingt nachhaltig verändert.","201",NA
"Die Integrität der gespeicherten Daten ist so nicht mehr gewährleistet.","201",NA
"Die dabei gewonnenen Erkenntnisse sind daher als Beweis vor Gericht völlig ungeeignet.","201",NA
"Wir setzen uns deshalb für ein gesetzlich geregeltes ausnahmsloses Verwertungsverbot von Beweisen ein, die auf diese Art gewonnen wurden.","201",NA
"Eine Unterscheidung zwischen Quellen-TKÜ und einem weitergehenden Eingriff ist lediglich ein realitätsfernes theoretisches Konstrukt.","201",NA
"In der Praxis können wir keinen Unterschied in der Tiefe des Eingriffs in die Grundrechte der Betroffenen erkennen.","201",NA
"Die Eingriffschwelle für die Quellen-TKÜ ist daher mindestens ebenso hoch wie für jeden anderen verdeckten Eingriff in ein informationstechnisches System.","201",NA
"Anordnungen für diese Eingriffe werden ausschließlich von Richtern beschlossen.","202",NA
"Eine Anordnung im Falle einer Gefahr im Verzug durch die Exekutive (z. B. Staatsanwalt, Behördenleiter, Ministerien) schließen wir aus.","202",NA
"Eine Anordnung darf nur erfolgen, wenn bereits andere mildere Maßnahmen durchgeführt wurden und erfolglos waren.","201",NA
