"content","cmp_code","eu_code"
"Deutschland ist auf einem guten Weg.","601",NA
"Trotz der schweren Krise in Europa.","601",NA
"Das ist zuallererst ein Verdienst der Menschen, die durch gemeinsame Anstrengungen wieder starkes Wachstum,","410",NA
"mehr Arbeit und höhere Löhne in Deutschland geschaffen haben.","701",NA
"Und es ist ein Verdienst liberaler Politik, weil mehr Menschen die Freiheit dazu haben, ihre Träume zu verfolgen und ihren eigenen Weg zu gehen.","305",NA
"Dafür haben wir uns vier Jahre lang in der christlich-liberalen Koalition eingesetzt.","305",NA
"Dafür haben wir in den letzten vier Jahren so manchen Kampf geführt.","305",NA
"Und die Ergebnisse können sich sehen lassen: Es waren vier gute Jahre für Deutschland.","305",NA
"Wir haben die Menschen in unserem Land um insgesamt 22 Milliarden Euro entlastet.","408",NA
"Wir haben den Staatshaushalt in Ordnung gebracht und für 2014 das erste Mal seit über 40 Jahren einen strukturell ausgeglichenen Bundeshaushalt beschlossen.","414",NA
"Wir haben durchgesetzt, dass in allen Euro-Staaten eine Schuldenbremse eingeführt wird und die Voraussetzungen geschaffen, damit aus Europa eine echte Stabilitätsunion wird.","414",NA
"Wir verteidigen die Sicherheit unseres Geldes.","414",NA
"Wir haben neue Subventionen verhindert und Staatshilfen für Großkonzerne unterbunden.","414",NA
"Wir haben zusätzliche Investitionen in Bildung,","506",NA
"in Forschung,","411",NA
"in Infrastruktur","411",NA
"und Kinderbetreuung durchgesetzt.","504",NA
"Und wir haben die Bürgerrechte gestärkt","201",NA
"und Bürokratie abgebaut.","303",NA
"Damit jeder sich frei entfalten kann.","201",NA
"Eine starke Soziale Marktwirtschaft.","403",NA
"Sicheres Geld.","414",NA
"Solide Haushalte.","414",NA
"Entlastung für Mitte.","704",NA
"Mehr Bildungschancen.","506",NA
"Und starke, freie Bürger.","201",NA
"Das ging nur mit uns.","305",NA
"Das ging nur mit der FDP.","305",NA
"Wir haben Hindernisse beiseite geräumt und Freiräume geschaffen.","305",NA
"Freiräume, die von den Menschen in unserem Land genutzt wurden, um inmitten der europäischen Schuldenkrise ein deutsches Wachstumswunder zu schaffen:","410",NA
"Während unsere Nachbarn ringsum unter der Krise leiden, haben wir in Deutschland 1,6 Millionen neue sozialversicherungspflichtige Arbeitsplätze geschaffen.","701",NA
