"content","cmp_code","eu_code"
"Dieses SPD-Regierungsprogramm 2013 steht in einer Reihe und zugleich großen Tradition von Programmen unserer Partei.","305",NA
"Mit unseren Regierungsprogrammen haben wir immer wieder den Nachweis von Regierungswilligkeit und Regierungsfähigkeit geliefert.","305",NA
"Vor allem aber haben wir stets bewiesen, dass wir – programmatisch gerüstet und geschlossen – die wirtschaftlichen, sozialen und gesellschaftlichen Verhältnisse für die Menschen in unserem Land nachhaltig verändern wollen.","305",NA
"Gerade im Vorfeld von Wahlen ist es unerlässlich, dass sich die SPD ganz konkret darüber im Klaren ist, was politisch zu tun ist, wenn es die Verhältnisse im Lande, um uns herum in Europa und in der Welt erfordern.","305",NA
"Auf der Höhe der Zeit zu sein, bedeutet zuerst, dass wir uns daran erinnern: Die Kraft der Erneuerung hat in der SPD eine Tradition, die Gründungsgedanke und Gegenwartsaufgabe zugleich ist.","305",NA
"Wir haben unser Land zum Besseren verändert und wollen dies weiter tun.","305",NA
"In diesem Jahr fällt die Bundestagswahl mit unserem historischen Jubiläum zusammen:","305",NA
"Die SPD feiert ihr 150jähriges Bestehen.","305",NA
"Damit sind wir die älteste demokratische Partei Deutschlands und die traditionsreichste sozialdemokratische Partei der Welt.","305",NA
"Seit ihrer Gründung 1863 kämpfen Millionen unserer Mitglieder für Freiheit,","201",NA
"Demokratie","202",NA
"und Gerechtigkeit.","503",NA
"Sie treten ein für eine solidarische und fortschrittliche Gesellschaft,","503",NA
"die den Einzelnen schützt und ihn zur Selbstbestimmung befähigt.","201",NA
"Wir wissen: Die Frage von sozialer Gerechtigkeit und gleichen Rechten ist heute und in Zukunft genauso aktuell wie immer wieder in den vergangenen 150 Jahren.","503",NA
"Ohne die SPD sähe unser Land anders und ärmer aus, gäbe es keinen Acht-Stunden-Tag, keine Arbeitnehmerrechte, keine Arbeitsschutzgesetzgebung","701",NA
"und keine Sozialstaatlichkeit in unserer Verfassung.","203",NA
"Der Kampf um soziale Gerechtigkeit bleibt daher eine Daueraufgabe.","503",NA
"Die SPD ist und bleibt die große politische Kraft für Demokratie und Emanzipation in Deutschland.","202",NA
"Die Ablehnung des Ermächtigungsgesetzes der Nazis vor 80 Jahren durch die SPD ist bis heute ein beispielloser Ausweis für unsere demokratische Grundhaltung und Überzeugung.","202",NA
"Dafür wurden Sozialdemokratinnen und Sozialdemokraten immer wieder in der deutschen Geschichte verfolgt, unterdrückt, interniert, gedemütigt und getötet.","305",NA
"Sich daran immer wieder zu erinnern, macht uns demütig, stolz, aber eben auch selbstbewusst.","305",NA
"Zu dieser großen sozialdemokratischen Geschichte gehört auch die Gründung der SDP oder Ost-SPD im Oktober 1989, mit der Sozialdemokratinnen und Sozialdemokraten ihren Beitrag zur friedlichen Revolution in Deutschland geleistet haben.","202",NA
"Wir leben Demokratie und werden dies weiter tun.","202",NA
