"content","cmp_code","eu_code"
"24. Ordentliche Bundesdelegiertenkonferenz 9./10. Juli 2005, Berlin",NA,NA
"Beschluss: Wahlprogramm 2005 (redaktioneller Stand: 15.7.2005)",NA,NA
"Liebe Wählerin, lieber Wähler,",NA,NA
"mit dem Wahlprogramm, das Sie in den Händen halten, möchten wir Sie von unserem Weg der solidarischen Modernisierung","606",NA
"und der ökologischen Verantwortung überzeugen.","501",NA
"Wir setzen uns ein für eine Gesellschaft, in der die Menschen die notwendigen Veränderungen ohne Angst vor Arbeitslosigkeit und Ausgrenzung mitgehen können.","504",NA
"Wir wollen Sie davon überzeugen, dass das wichtige Thema der Ökologie auf der Tagesordnung bleibt.","501",NA
"Ohne Ökologie ist kein Leben möglich, kein Arbeiten und keine wirtschaftliche Entwicklung, keine Gerechtigkeit und keine Freiheit.","501",NA
"Solidarische Modernisierung heißt für uns auch:","303",NA
"Wir werben für eine Stärkung der Bürgerrechte","301",NA
"und eine tolerante Gesellschaft.","607",NA
"Und wir möchten Sie gewinnen für die gerechte Gestaltung der Globalisierung","503",NA
"und den Schutz der Menschenrechte.","201",NA
"Unsere Gesellschaft befindet sich in einem tiefgreifenden Umbruch.","303",NA
"Der wirtschaftliche Druck wird auch im Zuge der Globalisierung immer größer und gleichzeitig steckt Europa in einer Krise.","408",NA
"Trotz zahlreicher um-weltpolitischer Erfolge nimmt die Umweltbelastung weiter zu","501",NA
"und eine ökologische Weltwirtschaft ist in weiter Ferne.","501",NA
"Die sozialen Sicherungssysteme erodieren auf Grund des Wandels von Wirtschaft und Altersstruktur.","504",NA
"Wir erleben die zunehmende Ausgrenzung eines Teils der Gesellschaft.","503",NA
"Die Arbeitswelt verändert sich dramatisch.","701",NA
"Klassische Vollerwerbsarbeitsplätze brechen weg, Millionen sind arbeitslos und viele leben in unsicheren Arbeitsverhältnissen.","701",NA
"Die öffentlichen Haushalte sind zudem dramatisch verschuldet und viele Kommunen stehen vor dem Bankrott.","414",NA
"Diese Schwierigkeiten wollen wir offen ansprechen.","303",NA
"Die Antworten darauf sind weder einfach noch bequem.","303",NA
"Nur wenn wir und Sie gemeinsam den Mut haben, uns diesen Fragen offen zu stellen, können wir zusammen unserer Gesellschaft eine echte Perspektive geben.","202",NA
"In den vergangenen sieben Jahren konnten wir wichtige Fortschritte erzielen: beim Atomausstieg, in der Energiepolitik, beim Umwelt- und Klimaschutz, in der Außen- und Friedenspolitik, bei der Integration Europas, beim Staatsbürgerschaftsrecht und der Migrationspolitik.","305",NA
"Ob in der Verbraucher- und Agrarpolitik, in der Renten- und Sozialpolitik, bei der Lebenspartnerschaft, in der Frauenpolitik, wir stellen fest: Auf der Habenseite der rot-grünen Koalition stehen hauptsächlich grüne Erfolge.","305",NA
"Und wir haben in all diesen Bereichen viele weitere Ideen und Konzepte, die wir in die Tat umsetzen wollen.","305",NA
"Wir stellen Ihnen in diesem Programm dar, wo wir Erfolge hatten, aber auch wo wir uns nicht durchsetzen konnten.","305",NA
"Wir sagen Ihnen auch, wo wir dazugelernt haben und neue Impulse geben wollen.","305",NA
"Unsere Gesellschaft braucht starke GRÜNE, damit wir unseren Weg der solidarischen Modernisierung","606",NA
"und ökologischen Verantwortung weitergehen können.","501",NA
"Wir sprechen in unserem Programm über grüne Ziele und Visionen und über konkrete Vorschläge, die wir Schritt für Schritt umsetzen wollen.","305",NA
"Und für diese Ziele werben wir um Ihre Stimme bei der Bundestagswahl.","305",NA
"Freiheit braucht Teilhabe und Gerechtigkeit",NA,NA
"Grüne Politik zielt auf Freiheit und Selbstbestimmung.","201",NA
"Aber wir können sie nur erreichen, wenn es auch gerecht zugeht.","503",NA
"Unsere Politik hat gerade auch diejenigen im Blick, die von Ausgrenzung betroffen sind oder in eine ungewisse soziale Zukunft blicken.","504",NA
"Wir formulieren Angebote für ein selbstbestimmtes Leben in sozialer Sicherheit.","504",NA
"Millionen in unserer Gesellschaft sind zu lange schon ohne Arbeit oder haben Angst ihre Arbeitsplätze zu verlieren.","701",NA
"Viele fühlen sich ausgeschlossen oder sind verunsichert.","503",NA
"Dabei reicht die Verunsicherung bis tief in die Mitte der Gesellschaft.","704",NA
"Nach dem neuen Armuts- und Reichtumsbericht der Bundesregierung gehört den wohlhabendsten zehn Prozent der Deutschen inzwischen fast die Hälfte des gesamten Nettovermögens.","503",NA
"Die unteren zehn Prozent besitzen nichts mehr außer Schulden.","701",NA
"Wir GRÜNE haben uns um neue gesellschaftliche Probleme und Schieflagen gekümmert und hartnäckig an ihrer Überwindung gearbeitet.","503",NA
"Diese Hartnäckigkeit ist gefordert, wenn die brennende soziale Frage der Gegenwart - Teilhabe und gesellschaftlicher Zusammenhalt unter Bedingungen der Globalisierung – zur Beantwortung steht.","504",NA
"Als die moderne, werteorientierte und emanzipative Kraft, die links und freiheitlich und wertkonservativ ist, geht es uns darum, den Gerechtigkeitshorizont zu erweitern, und für die Ausgeschlossenen und Verunsicherten Partei zu ergreifen.","503",NA
"Doch für mehr Gerechtigkeit brauchen wir auch eine wirtschaftliche Modernisierung, die neue Arbeitsplätze schafft.","411",NA
"Grüne stehen für nachhaltige wirtschaftliche Dynamik.","416",NA
"Wer ist drinnen und wer draußen?","503",NA
"Und wie holen wir die Ausgeschlossenen wieder herein?","504",NA
"Das sind die zentralen sozialen Fragen des globalisierten und postindustriellen Zeitalters, auf die der gerechte Sozialstaat eine Antwort geben muss.","503",NA
"Vielfach wird hierbei arrogant von einer neuen ”Unterklasse” gesprochen, die auf den richtigen Weg gebracht werden müsse.","701",NA
"Eine solche Politik stellt sich ”über” diese Menschen.","701",NA
"Das empfinden wir als anstößig.","701",NA
"Außerdem verkennt sie die Unterschiedlichkeit der Lebenslagen, die von sozialem Ausschluss betroffen sind.","503",NA
"Es geht um Langzeitarbeitslose, Alleinerziehende, arbeitslose Akademiker und Akademikerinnen, Jugendliche ohne Schul- oder Berufsabschluss, Ältere ohne Aufgabe und viele Migranten und Migrantinnen.","701",NA
"In unserer Gesellschaft gibt es Menschen, die nie reinkamen, es gibt Menschen, die aus der Mitte nach unten durchgefallen sind, und es gibt eine wachsende Gruppe von ”Verunsicherten”, die Angst haben, herauszufallen.","701",NA
"Ziel einer emanzipatorischen Sozialpolitik muss es sein, jedem Menschen von Anfang an die Bedingungen und Entwicklungsmöglichkeiten zu bieten, die eine gerechte Teilhabe am sozialen, wirtschaftlichen und gesellschaftlichen wie politischen Leben möglich machen.","503",NA
"Wir brauchen eine Sozialpolitik, die wirksam und verlässlich gegen Armut schützt und Ausgrenzung verhindert.","504",NA
"Diesen Menschen geben wir eine Antwort, die Freiheit","504",NA
"und soziale Sicherheit verbindet, indem sie Selbstbestimmung und Anerkennung ermöglicht.","201",NA
"Arbeit und Wohlstand wird es in Deutschland nur geben, wenn wir den Mut zu mehr Freiheit und Verantwortung aufbringen.","201",NA
"Entgegen der neoliberalen Politik von CDU/CSU und FDP wissen wir:","305",NA
"Freiheit lässt sich nur leben, wenn man nicht täglich in der Angst um die eigene Existenz lebt.","504",NA
"Wir wollen keine Gesellschaft, in der der Wohlstand der einen mit der Armut und der Abstiegs-angst der anderen erkauft wird.","503",NA
"Aber uns geht es auch nicht um die Illusion einer Sicherheit, die die Freiheit erstickt.","201",NA
"Unsere Gesellschaft braucht mehr Dynamik, aber wir können von den Menschen nur dann mehr Initiative und Eigenverantwortung verlangen,","401",NA
"wenn wir gleichzeitig dafür sorgen, dass sie diese Verantwortung auch tragen können und nicht ins Bodenlose fallen.","504",NA
"Wir wollen einen bürgerfreundlichen Staat, der die Menschen in ihrer Selbstbestimmung stützt und unterstützt,","504",NA
"der sie weder gängelt und kontrolliert,","201",NA
"noch bloß das Laissez-faire verkündet.","504",NA
"Freiheit braucht soziale Sicherheit.","504",NA
"Alleinerziehende können nur arbeiten, wenn die Möglichkeit zur Kinderbetreuung sichergestellt ist.","504",NA
"Eine private Altersvorsorge kann sich nur leisten, wer über ein entsprechendes Einkommen verfügt.","504",NA
"Und zu gesellschaftlichem Engagement ist nur in der Lage, wer nicht ums eigene Überleben kämpfen muss.","504",NA
"Das ist unser Unterschied zu der neoliberalen Politik von Merkel/Westerwelle/Stoiber, die die Menschen liegen lässt, wenn sie hingefallen sind.","504",NA
"Wir glauben nicht an die Allzuständigkeit des Staates und wollen eine lebendige und solidarische Bürgergesellschaft.","606",NA
"Eine solche Gesellschaft wird es jedoch nur geben, wenn der Staat seinen Grundaufgaben nachkommt und die Menschen vor Armut und Willkür in Schutz nimmt.","504",NA
"Wir bieten Ihnen eine Politik an, die den notwenigen Kurs der wirtschaftlichen und sozialen Erneuerung weitergeht,","303",NA
"ohne dass die Menschen davor Angst haben müssen im Abseits zu landen.","504",NA
"Wir streiten dafür, dass Gerechtigkeit gleiche Freiheit bedeutet und nicht die Freiheit der Ellbogen.","503",NA
"Freiheit braucht Bildung und Arbeit.","201",NA
"Sie braucht auch die Möglichkeit, zwischen Erwerbsarbeit, anderer Arbeit und ehrenamtlichem Engagement wählen zu können.","201",NA
"Wenn sich die neue soziale Frage auf Grund von sozialer Ausgrenzung und Verweigerung gesellschaftlicher Teilhabe stellt, dann kann dies nicht spurlos an unserer Vorstellung von Verteilungsgerechtigkeit vorbeigehen.","503",NA
"Mit anderen Worten: Wir stehen vor Verteilungsfragen neuer Art.","504",NA
"Auch wenn wir die individuellen Sozialtransfers im unteren Bereich für verbesserungswürdig halten, so ist doch festzustellen, dass das Hauptproblem in der Ausgestaltung der Bildungsinstitutionen","506",NA
"und des Zugangs zum Arbeitsmarkt liegt.","504",NA
"Diese sind für individuelle Selbstbestimmung und gesellschaftliche Anerkennung unerlässlich.","504",NA
"Um individueller Ausgrenzung zu begegnen, brauchen wir verlässliche Sicherheiten und Zugangsrechte, wie eine armutsfeste Grundsicherung und reale Beschäftigungschancen.","504",NA
"Umwelt macht den Unterschied",NA,NA
"Modernisierung ist ohne ökologische Verantwortung nicht möglich.","501",NA
"Unsere Umwelt ist die gefährdete Grundlage unseres Lebens.","501",NA
"Die Klimazerstörung schreitet mit dramatischer Geschwindigkeit voran, die Pol-kappen schmelzen und die Erderwärmung nimmt zu.","501",NA
"Die Ökologie in dieser Situation aus kurzsichtigen Erwägungen ins Abseits zu stellen, hieße den Ast abzusägen, auf dem wir sitzen.","501",NA
"Doch Umweltschutz ist nicht nur eine Frage des Lebens und Überlebens, sie ist auch eine handfeste wirtschaftliche Frage.","501",NA
"Wohlstand und wirtschaftliche Dynamik brauchen Umwelt- und Klimaschutz, doch die Industrieländer verbrauchen unver-antwortlich viel globale Ressourcen.","501",NA
"Länder wie China und Indien erleben einen rasanten wirtschaftlichen Aufstieg und reklamieren dabei selbstverständlich einen steigenden Anteil an den begrenzten natürlichen Ressourcen.","107",NA
"Energie und Rohstoffe verteuern sich und die Umweltbelastung nimmt global drastisch zu.","501",NA
"Wir müssen unsere Abhängigkeit vom Öl daher schrittweise reduzieren.","501",NA
"Wer Effizienztechnologien und erneuer-bare Energien heute entwickelt, hält den Schlüssel für die Lösung der Energiefrage von morgen in der Hand.","411",NA
"Das ist Kern unserer Strategie ”Weg vom Öl”.","501",NA
"Die Weltbevölkerung wächst und damit die Herausforderung der Ernährungssicherheit.","107",NA
"Es wäre verantwortungslos, darauf mit Agro-Gentechnik statt mit einer neuen gentechnik-freien Agrarpolitik zu reagieren,","703",NA
"die auch den Interessen der Entwicklungsländer Rechnung trägt.","107",NA
"Wir GRÜNE sind eine starke Stimme für Umwelt- und Naturschutz, für neue Landwirtschaft und Verbraucherschutz.","501",NA
